Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Allsvenskan,7,Sat,2024-05-04,17:30,Sirius,0–3,BK Häcken,5459,Studenternas IP,,Match Report,
Allsvenskan,7,Sun,2024-05-05,14:00,Västerås,0–2,Djurgården,8714,Hitachi Energy Arena,,Match Report,
Allsvenskan,7,Sun,2024-05-05,14:00,Elfsborg,3–1,Malmö,11145,Borås Arena,,Match Report,
Allsvenskan,7,Sun,2024-05-05,16:30,AIK Stockholm,6–2,Norrköping,24177,Strawberry Arena,,Match Report,
Allsvenskan,7,Sun,2024-05-05,16:30,Hammarby,1–2,Värnamo,20116,Tele2 Arena,,Match Report,
Allsvenskan,7,Mon,2024-05-06,19:10,GAIS,2–1,Göteborg,16646,Gamla Ullevi (1916),,Match Report,
,,,,,,,,,,,,
Allsvenskan,8,Sat,2024-05-11,15:00,Halmstad,1–3,Mjällby,5207,Örjans Vall,,Match Report,
Allsvenskan,8,Sat,2024-05-11,15:00,AIK Stockholm,1–3,Sirius,25289,Strawberry Arena,,Match Report,
Allsvenskan,8,Sat,2024-05-11,17:30,GAIS,2–0,Västerås,5905,Gamla Ullevi (1916),,Match Report,
Allsvenskan,8,Sun,2024-05-12,14:00,BK Häcken,3–1,Kalmar,5143,Bravida Arena,,Match Report,
Allsvenskan,8,Sun,2024-05-12,14:00,Norrköping,1–2,Hammarby,13356,PlatinumCars Arena,,Match Report,
Allsvenskan,8,Sun,2024-05-12,16:30,Värnamo,1–1,Brommapojkarna,316,Finnvedsvallen,,Match Report,
Allsvenskan,8,Sun,2024-05-12,16:30,Djurgården,2–0,Elfsborg,19418,Tele2 Arena,,Match Report,
Allsvenskan,8,Mon,2024-05-13,19:10,Göteborg,0–3,Malmö,17316,Gamla Ullevi (1916),,Match Report,
,,,,,,,,,,,,
Allsvenskan,9,Wed,2024-05-15,19:00,Halmstad,3–0,BK Häcken,4210,Örjans Vall,,Match Report,
Allsvenskan,9,Wed,2024-05-15,19:00,Mjällby,3–0,Hammarby,3819,Strandvallen A-Plan,,Match Report,
Allsvenskan,9,Wed,2024-05-15,19:00,Västerås,0–2,Värnamo,5158,Hitachi Energy Arena,,Match Report,
Allsvenskan,9,Wed,2024-05-15,19:00,Elfsborg,6–1,AIK Stockholm,9205,Borås Arena,,Match Report,
Allsvenskan,9,Thu,2024-05-16,19:00,Sirius,2–2,Göteborg,6961,Studenternas IP,,Match Report,
Allsvenskan,9,Thu,2024-05-16,19:00,Malmö,1–0,GAIS,20673,Eleda Stadion,,Match Report,
Allsvenskan,9,Thu,2024-05-16,19:00,Brommapojkarna,0–5,Djurgården,3780,Grimsta IP,,Match Report,
Allsvenskan,9,Thu,2024-05-16,19:00,Kalmar,1–1,Norrköping,4171,Guldfågeln Arena,,Match Report,
,,,,,,,,,,,,
Allsvenskan,10,Sun,2024-05-19,14:00,Brommapojkarna,2–1,Norrköping,1022,Grimsta IP,,Match Report,
Allsvenskan,10,Sun,2024-05-19,14:00,Hammarby,2–1,AIK Stockholm,27204,Tele2 Arena,,Match Report,
Allsvenskan,10,Sun,2024-05-19,16:30,Värnamo,0–2,Kalmar,2436,Finnvedsvallen,,Match Report,
Allsvenskan,10,Sun,2024-05-19,16:30,GAIS,2–1,Elfsborg,8319,Gamla Ullevi (1916),,Match Report,
Allsvenskan,10,Mon,2024-05-20,19:00,Djurgården,2–0,Halmstad,16796,Tele2 Arena,,Match Report,
