Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Eliteserien,26,Sun,2024-10-27,19:15,Brann,4–0,Tromsø,15517,Brann Stadion,Christian Moen,Match Report,
Eliteserien,26,Mon,2024-10-28,19:00,Bodø/Glimt,2–3,Rosenborg,6821,Aspmyra Stadion,Mohammad Aslam,Match Report,
,,,,,,,,,,,,
Eliteserien,27,Sat,2024-11-02,18:00,Viking,3–2,Sandefjord,10627,SR-Bank Arena,Espen Eskås,Match Report,
Eliteserien,27,Sun,2024-11-03,17:00,Tromsø,3–3,HamKam,4052,Romssa Arena,Marius Grøtta,Match Report,
Eliteserien,27,Sun,2024-11-03,17:00,Lillestrøm,0–1,Haugesund,7203,Åråsen Stadion,Rohit Saggi,Match Report,
Eliteserien,27,Sun,2024-11-03,17:00,Fredrikstad,1–1,Kristiansund,5990,Nye Fredrikstad Stadion,Mathias Støfringshaug,Match Report,
Eliteserien,27,Sun,2024-11-03,17:00,Odd,0–3,Brann,5752,Skagerak Arena,Mohammad Aslam,Match Report,
Eliteserien,27,Sun,2024-11-03,17:00,KFUM Oslo,1–2,Sarpsborg 08,1764,KFUM Arena,Marius Lien,Match Report,
Eliteserien,27,Sun,2024-11-03,17:00,Molde,3–3,Bodø/Glimt,6997,Aker Stadion,Ola Nilsen,Match Report,
Eliteserien,27,Sun,2024-11-03,19:15,Rosenborg,1–0,Strømsgodset,12424,Lerkendal Stadion,Tore Hansen,Match Report,
,,,,,,,,,,,,
Eliteserien,28,Sat,2024-11-09,18:00,Brann,2–1,Lillestrøm,16569,Brann Stadion,Ola Nilsen,Match Report,
Eliteserien,28,Sun,2024-11-10,17:00,Sandefjord,1–0,Odd,5497,Jotun Arena,Daniel Higraff,Match Report,
Eliteserien,28,Sun,2024-11-10,17:00,HamKam,0–2,Rosenborg,5334,Briskeby Arena,Sigurd Smehus Kringstad,Match Report,
Eliteserien,28,Sun,2024-11-10,17:00,Strømsgodset,1–0,KFUM Oslo,4418,Marienlyst Stadion,Svein Sinnes,Match Report,
Eliteserien,28,Sun,2024-11-10,17:00,Kristiansund,0–1,Viking,3395,Nordmøre Stadion,Tore Hansen,Match Report,
Eliteserien,28,Sun,2024-11-10,17:00,Sarpsborg 08,2–2,Molde,4274,Sarpsborg Stadion,Christian Moen,Match Report,
Eliteserien,28,Sun,2024-11-10,17:00,Haugesund,2–0,Tromsø,4531,Haugesund Stadion,Espen Eskås,Match Report,
Eliteserien,28,Sun,2024-11-10,19:15,Bodø/Glimt,2–2,Fredrikstad,5872,Aspmyra Stadion,Rohit Saggi,Match Report,
,,,,,,,,,,,,
Eliteserien,29,Sat,2024-11-23,17:00,Odd,0–2,Bodø/Glimt,3971,Skagerak Arena,Christian Moen,Match Report,
Eliteserien,29,Sat,2024-11-23,17:00,Fredrikstad,1–0,HamKam,5578,Nye Fredrikstad Stadion,Mohammad Aslam,Match Report,
Eliteserien,29,Sat,2024-11-23,17:00,Molde,2–1,Brann,9248,Aker Stadion,Espen Eskås,Match Report,
Eliteserien,29,Sat,2024-11-23,17:00,Rosenborg,1–1,Sarpsborg 08,13222,Lerkendal Stadion,Rohit Saggi,Match Report,
Eliteserien,29,Sat,2024-11-23,17:00,Lillestrøm,0–3,Sandefjord,6217,Åråsen Stadion,Marius Grøtta,Match Report,
Eliteserien,29,Sat,2024-11-23,17:00,Viking,5–1,Haugesund,14701,SR-Bank Arena,Kristoffer Hagenes,Match Report,
Eliteserien,29,Sat,2024-11-23,17:00,Tromsø,2–0,Strømsgodset,3991,Romssa Arena,Sivert Øksnes Amland,Match Report,
Eliteserien,29,Sat,2024-11-23,17:00,KFUM Oslo,1–2,Kristiansund,2348,KFUM Arena,Daniel Higraff,Match Report,
,,,,,,,,,,,,
Eliteserien,30,Sun,2024-12-01,17:00,Sandefjord,0–1,Fredrikstad,3616,Jotun Arena,Svein Sinnes,Match Report,
Eliteserien,30,Sun,2024-12-01,17:00,Strømsgodset,1–0,Molde,4207,Marienlyst Stadion,Marius Lien,Match Report,
Eliteserien,30,Sun,2024-12-01,17:00,Brann,1–1,Viking,16500,Brann Stadion,Rohit Saggi,Match Report,
Eliteserien,30,Sun,2024-12-01,17:00,Bodø/Glimt,5–2,Lillestrøm,7707,Aspmyra Stadion,Tore Hansen,Match Report,
Eliteserien,30,Sun,2024-12-01,17:00,Sarpsborg 08,2–1,Tromsø,3897,Sarpsborg Stadion,Sigurd Smehus Kringstad,Match Report,
Eliteserien,30,Sun,2024-12-01,17:00,Haugesund,2–1,Odd,3964,Haugesund Stadion,Mohammad Aslam,Match Report,
Eliteserien,30,Sun,2024-12-01,17:00,HamKam,0–2,KFUM Oslo,2508,Briskeby Arena,Sivert Øksnes Amland,Match Report,
Eliteserien,30,Sun,2024-12-01,17:00,Kristiansund,0–4,Rosenborg,4309,Nordmøre Stadion,Ola Nilsen,Match Report,
,,,,,,,,,,,,
Norwegian 1/2 Relegation/Promotion play-offs (M),,Thu,2024-12-05,18:30,Moss,0–0,Haugesund,2557,Melløs Stadion,Tore Hansen,Match Report,Leg 1 of 2
Norwegian 1/2 Relegation/Promotion play-offs (M),,Sun,2024-12-08,14:30,Haugesund,2–0,Moss,5851,Haugesund Stadion,Rohit Saggi,Match Report,Leg 2 of 2; Haugesund won
