Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Eliteserien,7,Sun,2024-05-12,14:30,Kristiansund,2–4,Bodø/Glimt,4018,Nordmøre Stadion,,Match Report,
Eliteserien,7,Sun,2024-05-12,17:00,Tromsø,4–0,Odd,3637,Romssa Arena,,Match Report,
Eliteserien,7,Sun,2024-05-12,17:00,Strømsgodset,0–1,Viking,4669,Marienlyst Stadion,,Match Report,
Eliteserien,7,Sun,2024-05-12,17:00,Sandefjord,4–1,Sarpsborg 08,3513,Jotun Krøllgras,,Match Report,
Eliteserien,7,Sun,2024-05-12,17:00,HamKam,2–2,Haugesund,3011,Briskeby Arena,,Match Report,
Eliteserien,7,Sun,2024-05-12,17:00,KFUM Oslo,1–4,Fredrikstad,3206,KFUM Arena,,Match Report,
Eliteserien,7,Sun,2024-05-12,19:15,Lillestrøm,0–2,Brann,8386,Åråsen Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,8,Thu,2024-05-16,18:00,Bodø/Glimt,4–0,Tromsø,8257,Aspmyra Stadion,,Match Report,
Eliteserien,8,Thu,2024-05-16,18:00,Odd,0–4,Molde,6325,Skagerak Arena,,Match Report,
Eliteserien,8,Thu,2024-05-16,18:00,Viking,1–4,Lillestrøm,15800,SR-Bank Arena,,Match Report,
Eliteserien,8,Thu,2024-05-16,18:00,Rosenborg,1–3,KFUM Oslo,21426,Lerkendal Stadion,,Match Report,
Eliteserien,8,Thu,2024-05-16,18:00,Haugesund,1–0,Kristiansund,6628,Haugesund Stadion,,Match Report,
Eliteserien,8,Thu,2024-05-16,18:00,Fredrikstad,4–1,Strømsgodset,11317,Fredrikstad Stadion,,Match Report,
Eliteserien,8,Thu,2024-05-16,18:00,Sarpsborg 08,1–7,HamKam,6154,Sarpsborg Stadion,,Match Report,
Eliteserien,8,Thu,2024-05-16,18:00,Brann,2–1,Sandefjord,16750,Brann Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,9,Mon,2024-05-20,17:00,Molde,2–4,Sarpsborg 08,6034,Aker Stadion,,Match Report,
Eliteserien,9,Mon,2024-05-20,17:00,KFUM Oslo,0–0,Odd,2409,KFUM Arena,,Match Report,
Eliteserien,9,Mon,2024-05-20,17:00,Sandefjord,0–3,Viking,3696,Jotun Arena,,Match Report,
Eliteserien,9,Mon,2024-05-20,17:00,HamKam,1–0,Bodø/Glimt,5012,Briskeby Arena,,Match Report,
Eliteserien,9,Mon,2024-05-20,17:00,Strømsgodset,2–0,Haugesund,5346,Marienlyst Kunstgress,,Match Report,
Eliteserien,9,Mon,2024-05-20,17:00,Kristiansund,2–2,Brann,3581,Nordmøre Stadion,,Match Report,
Eliteserien,9,Mon,2024-05-20,17:00,Lillestrøm,0–3,Fredrikstad,9267,Åråsen Stadion,,Match Report,
Eliteserien,9,Mon,2024-05-20,19:15,Tromsø,3–2,Rosenborg,4713,Romssa Arena,,Match Report,
,,,,,,,,,,,,
Eliteserien,10,Fri,2024-05-24,19:00,Bodø/Glimt,2–2,KFUM Oslo,6243,Aspmyra Stadion,,Match Report,
Eliteserien,10,Sat,2024-05-25,18:00,Fredrikstad,0–0,Tromsø,8671,Fredrikstad Stadion,,Match Report,
Eliteserien,10,Sun,2024-05-26,17:00,Viking,3–0,HamKam,10024,SR-Bank Arena,,Match Report,
Eliteserien,10,Sun,2024-05-26,17:00,Odd,2–1,Lillestrøm,4529,Skagerak Arena,,Match Report,
Eliteserien,10,Sun,2024-05-26,17:00,Sarpsborg 08,1–3,Strømsgodset,4105,Sarpsborg Stadion,,Match Report,
Eliteserien,10,Sun,2024-05-26,17:00,Rosenborg,2–1,Kristiansund,11649,Lerkendal Stadion,,Match Report,
Eliteserien,10,Sun,2024-05-26,17:00,Haugesund,2–1,Sandefjord,3615,Haugesund Stadion,,Match Report,
Eliteserien,10,Sun,2024-05-26,19:15,Brann,1–3,Molde,16317,Brann Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,18,Wed,2024-05-29,19:00,Tromsø,3–0,Fredrikstad,4501,Romssa Arena,,Match Report,
Eliteserien,18,Wed,2024-05-29,19:00,Brann,2–1,Kristiansund,14538,Brann Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,19,Wed,2024-05-29,19:00,Bodø/Glimt,1–1,Sandefjord,5853,Aspmyra Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,11,Sat,2024-06-01,18:00,HamKam,1–2,Brann,6218,Briskeby Arena,,Match Report,
Eliteserien,11,Sun,2024-06-02,14:30,Molde,2–2,Viking,6879,Aker Stadion,,Match Report,
Eliteserien,11,Sun,2024-06-02,17:00,Strømsgodset,1–1,Odd,5381,Marienlyst Stadion,,Match Report,
Eliteserien,11,Sun,2024-06-02,17:00,Haugesund,0–1,Bodø/Glimt,4649,Haugesund Stadion,,Match Report,
Eliteserien,11,Sun,2024-06-02,17:00,Tromsø,1–2,Lillestrøm,5154,Romssa Arena,,Match Report,
Eliteserien,11,Sun,2024-06-02,17:00,Kristiansund,3–1,Sarpsborg 08,3391,Nordmøre Stadion,,Match Report,
Eliteserien,11,Sun,2024-06-02,17:00,KFUM Oslo,3–3,Sandefjord,2759,KFUM Arena,,Match Report,
Eliteserien,11,Sun,2024-06-02,19:15,Rosenborg,1–1,Fredrikstad,11922,Lerkendal Stadion,,Match Report,
,,,,,,,,,,,,
Eliteserien,12,Thu,2024-06-27,19:00,Sandefjord,1–2,HamKam,3241,Jotun Arena,,Match Report,
Eliteserien,12,Thu,2024-06-27,21:15,Lillestrøm,2–1,KFUM Oslo,6212,Åråsen Stadion,,Match Report,
Eliteserien,12,Fri,2024-06-28,19:00,Odd,1–1,Kristiansund,4018,Skagerak Arena,,Match Report,
Eliteserien,12,Fri,2024-06-28,19:00,Brann,0–0,Strømsgodset,15933,Brann Stadion,,Match Report,
Eliteserien,12,Fri,2024-06-28,19:00,Sarpsborg 08,1–2,Bodø/Glimt,6401,Sarpsborg Stadion,,Match Report,
Eliteserien,12,Fri,2024-06-28,21:15,Tromsø,0–2,Molde,4333,Romssa Arena,,Match Report,
