Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
30,Sat,2027-04-24,,Club Brugge,,Union SG,,Jan Breydelstadion,,Head-to-Head,
30,Sat,2027-04-24,,OH Leuven,,Beveren,,King Power at Den Dreef Stadion,,Head-to-Head,
30,Sat,2027-04-24,,Kortrijk,,Westerlo,,,,Head-to-Head,
30,Sat,2027-04-24,,La Louvière,,Standard Liège,,Easi Arena,,Head-to-Head,
30,Sat,2027-04-24,,Antwerp,,Gent,,Bosuilstadion,,Head-to-Head,
30,Sat,2027-04-24,,Anderlecht,,Cercle Brugge,,Lotto Park,,Head-to-Head,
30,Sat,2027-04-24,,Zulte Waregem,,Mechelen,,Elindus Arena,,Head-to-Head,
,,,,,,,,,,,
31,Sat,2027-05-01,,Cercle Brugge,,Club Brugge,,Jan Breydelstadion,,Head-to-Head,
31,Sat,2027-05-01,,Union SG,,Kortrijk,,Stade Joseph Mariën,,Head-to-Head,
31,Sat,2027-05-01,,Gent,,Genk,,Planet Group Arena,,Head-to-Head,
31,Sat,2027-05-01,,Standard Liège,,Lommel,,Stade Maurice Dufrasne,,Head-to-Head,
31,Sat,2027-05-01,,Sint-Truiden,,Anderlecht,,Daio Wasabi Stayen Stadium,,Head-to-Head,
31,Sat,2027-05-01,,Beveren,,La Louvière,,,,Head-to-Head,
31,Sat,2027-05-01,,Charleroi,,Zulte Waregem,,Stade du Pays de Charleroi,,Head-to-Head,
31,Sat,2027-05-01,,Mechelen,,Antwerp,,AFAS Stadion,,Head-to-Head,
31,Sat,2027-05-01,,Westerlo,,OH Leuven,,Het Kuipje,,Head-to-Head,
,,,,,,,,,,,
32,Sat,2027-05-08,,La Louvière,,Westerlo,,Easi Arena,,Head-to-Head,
32,Sat,2027-05-08,,Antwerp,,Standard Liège,,Bosuilstadion,,Head-to-Head,
32,Sat,2027-05-08,,Anderlecht,,Union SG,,Lotto Park,,Head-to-Head,
32,Sat,2027-05-08,,Genk,,Cercle Brugge,,Cegeka Arena,,Head-to-Head,
32,Sat,2027-05-08,,Club Brugge,,Mechelen,,Jan Breydelstadion,,Head-to-Head,
32,Sat,2027-05-08,,Lommel,,Beveren,,Soevereinstadion,,Head-to-Head,
32,Sat,2027-05-08,,Kortrijk,,Gent,,,,Head-to-Head,
32,Sat,2027-05-08,,Zulte Waregem,,Sint-Truiden,,Elindus Arena,,Head-to-Head,
32,Sat,2027-05-08,,OH Leuven,,Charleroi,,King Power at Den Dreef Stadion,,Head-to-Head,
,,,,,,,,,,,
33,Sat,2027-05-15,,Charleroi,,Kortrijk,,Stade du Pays de Charleroi,,Head-to-Head,
33,Sat,2027-05-15,,Standard Liège,,Genk,,Stade Maurice Dufrasne,,Head-to-Head,
33,Sat,2027-05-15,,Westerlo,,Lommel,,Het Kuipje,,Head-to-Head,
33,Sat,2027-05-15,,Mechelen,,OH Leuven,,AFAS Stadion,,Head-to-Head,
33,Sat,2027-05-15,,Zulte Waregem,,La Louvière,,Elindus Arena,,Head-to-Head,
33,Sat,2027-05-15,,Cercle Brugge,,Beveren,,Jan Breydelstadion,,Head-to-Head,
33,Sat,2027-05-15,,Sint-Truiden,,Club Brugge,,Daio Wasabi Stayen Stadium,,Head-to-Head,
33,Sat,2027-05-15,,Anderlecht,,Antwerp,,Lotto Park,,Head-to-Head,
33,Sat,2027-05-15,,Gent,,Union SG,,Planet Group Arena,,Head-to-Head,
,,,,,,,,,,,
34,Sat,2027-05-22,,Beveren,,Standard Liège,,,,Head-to-Head,
34,Sat,2027-05-22,,Lommel,,Cercle Brugge,,Soevereinstadion,,Head-to-Head,
34,Sat,2027-05-22,,Club Brugge,,Zulte Waregem,,Jan Breydelstadion,,Head-to-Head,
34,Sat,2027-05-22,,OH Leuven,,Gent,,King Power at Den Dreef Stadion,,Head-to-Head,
34,Sat,2027-05-22,,Kortrijk,,Sint-Truiden,,,,Head-to-Head,
34,Sat,2027-05-22,,Genk,,Mechelen,,Cegeka Arena,,Head-to-Head,
34,Sat,2027-05-22,,Union SG,,Charleroi,,Stade Joseph Mariën,,Head-to-Head,
34,Sat,2027-05-22,,La Louvière,,Anderlecht,,Easi Arena,,Head-to-Head,
34,Sat,2027-05-22,,Antwerp,,Westerlo,,Bosuilstadion,,Head-to-Head,
