Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sun,2026-09-13,16:00,Genk,,Gent,,Cegeka Arena,,Head-to-Head,
6,Sun,2026-09-13,18:30,Zulte Waregem,,Charleroi,,Elindus Arena,,Head-to-Head,
6,Sun,2026-09-13,19:15,La Louvière,,Kortrijk,,Easi Arena,,Head-to-Head,
,,,,,,,,,,,
7,Fri,2026-09-18,20:45,Gent,,Standard Liège,,Planet Group Arena,,Head-to-Head,
7,Sat,2026-09-19,16:00,OH Leuven,,La Louvière,,King Power at Den Dreef Stadion,,Head-to-Head,
7,Sat,2026-09-19,18:15,Charleroi,,Cercle Brugge,,Stade du Pays de Charleroi,,Head-to-Head,
7,Sat,2026-09-19,20:45,Lommel,,Mechelen,,Soevereinstadion,,Head-to-Head,
7,Sat,2026-09-19,20:45,Anderlecht,,Zulte Waregem,,Lotto Park,,Head-to-Head,
7,Sun,2026-09-20,13:30,Antwerp,,Union SG,,Bosuilstadion,,Head-to-Head,
7,Sun,2026-09-20,16:00,Sint-Truiden,,Westerlo,,Daio Wasabi Stayen Stadium,,Head-to-Head,
7,Sun,2026-09-20,18:30,Club Brugge,,Genk,,Jan Breydelstadion,,Head-to-Head,
7,Sun,2026-09-20,19:15,Kortrijk,,Beveren,,,,Head-to-Head,
,,,,,,,,,,,
8,Sat,2026-10-10,,Mechelen,,Sint-Truiden,,AFAS Stadion,,Head-to-Head,
8,Sat,2026-10-10,,Beveren,,Lommel,,,,Head-to-Head,
8,Sat,2026-10-10,,Zulte Waregem,,Gent,,Elindus Arena,,Head-to-Head,
8,Sat,2026-10-10,,Standard Liège,,Charleroi,,Stade Maurice Dufrasne,,Head-to-Head,
8,Sat,2026-10-10,,Union SG,,OH Leuven,,Stade Joseph Mariën,,Head-to-Head,
8,Sat,2026-10-10,,La Louvière,,Club Brugge,,Easi Arena,,Head-to-Head,
8,Sat,2026-10-10,,Cercle Brugge,,Anderlecht,,Jan Breydelstadion,,Head-to-Head,
8,Sat,2026-10-10,,Genk,,Kortrijk,,Cegeka Arena,,Head-to-Head,
8,Sat,2026-10-10,,Westerlo,,Antwerp,,Het Kuipje,,Head-to-Head,
,,,,,,,,,,,
9,Sat,2026-10-24,,Genk,,Standard Liège,,Cegeka Arena,,Head-to-Head,
9,Sat,2026-10-24,,Antwerp,,Charleroi,,Bosuilstadion,,Head-to-Head,
9,Sat,2026-10-24,,La Louvière,,Zulte Waregem,,Easi Arena,,Head-to-Head,
9,Sat,2026-10-24,,Club Brugge,,Sint-Truiden,,Jan Breydelstadion,,Head-to-Head,
9,Sat,2026-10-24,,Kortrijk,,Mechelen,,,,Head-to-Head,
9,Sat,2026-10-24,,Union SG,,Cercle Brugge,,Stade Joseph Mariën,,Head-to-Head,
9,Sat,2026-10-24,,Westerlo,,Beveren,,Het Kuipje,,Head-to-Head,
9,Sat,2026-10-24,,Gent,,Anderlecht,,Planet Group Arena,,Head-to-Head,
9,Sat,2026-10-24,,OH Leuven,,Lommel,,King Power at Den Dreef Stadion,,Head-to-Head,
,,,,,,,,,,,
10,Sat,2026-10-31,,Charleroi,,La Louvière,,Stade du Pays de Charleroi,,Head-to-Head,
10,Sat,2026-10-31,,Sint-Truiden,,OH Leuven,,Daio Wasabi Stayen Stadium,,Head-to-Head,
