Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sun,2026-09-13,12:15,Excelsior,,Utrecht,,Van Donge & De Roo Stadion,,Head-to-Head,
6,Sun,2026-09-13,14:30,Heerenveen,,Telstar,,Abe Lenstra Stadion,,Head-to-Head,
6,Sun,2026-09-13,16:45,Zwolle,,Feyenoord,,MAC³PARK Stadion,,Head-to-Head,
6,Sun,2026-09-13,20:00,PSV,,Sparta R.,,Philips Stadion,,Head-to-Head,
,,,,,,,,,,,
3,Tue,2026-09-15,20:00,Ajax,,Willem II,,Johan Cruijff Arena,,Head-to-Head,
,,,,,,,,,,,
7,Fri,2026-09-18,20:00,Groningen,,Zwolle,,Euroborg,,Head-to-Head,
7,Sat,2026-09-19,16:30,ADO Den Haag,,Cambuur,,Bingoal Stadion,,Head-to-Head,
7,Sat,2026-09-19,18:45,Sparta R.,,Heerenveen,,Sparta-Stadion Het Kasteel,,Head-to-Head,
7,Sat,2026-09-19,20:00,Ajax,,Excelsior,,Johan Cruijff Arena,,Head-to-Head,
7,Sat,2026-09-19,21:00,Willem II,,Fortuna Sittard,,Koning Willem II Stadion,,Head-to-Head,
7,Sun,2026-09-20,12:15,Feyenoord,,Utrecht,,Stadion Feijenoord,,Head-to-Head,
7,Sun,2026-09-20,14:30,Twente,,PSV,,De Grolsch Veste,,Head-to-Head,
7,Sun,2026-09-20,14:30,AZ Alkmaar,,Telstar,,AFAS Stadion,,Head-to-Head,
7,Sun,2026-09-20,16:45,NEC Nijmegen,,Go Ahead Eagles,,Goffertstadion,,Head-to-Head,
,,,,,,,,,,,
8,Fri,2026-10-09,20:00,PSV,,Heerenveen,,Philips Stadion,,Head-to-Head,
8,Sat,2026-10-10,16:30,Go Ahead Eagles,,Sparta R.,,De Adelaarshorst,,Head-to-Head,
8,Sat,2026-10-10,18:45,Feyenoord,,AZ Alkmaar,,Stadion Feijenoord,,Head-to-Head,
8,Sat,2026-10-10,20:00,Fortuna Sittard,,Twente,,Fortuna Sittard Stadion,,Head-to-Head,
8,Sat,2026-10-10,21:00,Ajax,,NEC Nijmegen,,Johan Cruijff Arena,,Head-to-Head,
8,Sun,2026-10-11,12:15,Utrecht,,Willem II,,Stadion Galgenwaard,,Head-to-Head,
8,Sun,2026-10-11,14:30,Telstar,,ADO Den Haag,,BUKO Stadion,,Head-to-Head,
8,Sun,2026-10-11,14:30,Zwolle,,Cambuur,,MAC³PARK Stadion,,Head-to-Head,
8,Sun,2026-10-11,16:45,Excelsior,,Groningen,,Van Donge & De Roo Stadion,,Head-to-Head,
,,,,,,,,,,,
9,Fri,2026-10-16,20:00,Heerenveen,,Excelsior,,Abe Lenstra Stadion,,Head-to-Head,
9,Sat,2026-10-17,16:30,ADO Den Haag,,PSV,,Bingoal Stadion,,Head-to-Head,
9,Sat,2026-10-17,20:00,Telstar,,Feyenoord,,BUKO Stadion,,Head-to-Head,
9,Sat,2026-10-17,21:00,Sparta R.,,Willem II,,Sparta-Stadion Het Kasteel,,Head-to-Head,
9,Sun,2026-10-18,12:15,Zwolle,,Go Ahead Eagles,,MAC³PARK Stadion,,Head-to-Head,
9,Sun,2026-10-18,14:30,Cambuur,,AZ Alkmaar,,Kooi Stadion,,Head-to-Head,
9,Sun,2026-10-18,16:45,Groningen,,Ajax,,Euroborg,,Head-to-Head,
9,Sun,2026-10-18,20:00,NEC Nijmegen,,Fortuna Sittard,,Goffertstadion,,Head-to-Head,
9,Sun,2026-10-18,20:00,Twente,,Utrecht,,De Grolsch Veste,,Head-to-Head,
,,,,,,,,,,,
10,Fri,2026-10-23,20:00,Go Ahead Eagles,,Telstar,,De Adelaarshorst,,Head-to-Head,
10,Sat,2026-10-24,16:30,Utrecht,,Zwolle,,Stadion Galgenwaard,,Head-to-Head,
10,Sat,2026-10-24,18:45,Willem II,,Cambuur,,Koning Willem II Stadion,,Head-to-Head,
10,Sat,2026-10-24,21:00,ADO Den Haag,,Heerenveen,,Bingoal Stadion,,Head-to-Head,
10,Sun,2026-10-25,12:15,Fortuna Sittard,,Excelsior,,Fortuna Sittard Stadion,,Head-to-Head,
10,Sun,2026-10-25,14:30,PSV,,Feyenoord,,Philips Stadion,,Head-to-Head,
10,Sun,2026-10-25,14:30,NEC Nijmegen,,Groningen,,Goffertstadion,,Head-to-Head,
10,Sun,2026-10-25,16:45,Sparta R.,,Ajax,,Sparta-Stadion Het Kasteel,,Head-to-Head,
10,Sun,2026-10-25,20:00,AZ Alkmaar,,Twente,,AFAS Stadion,,Head-to-Head,
,,,,,,,,,,,
11,Sat,2026-10-31,16:30,Feyenoord,,Fortuna Sittard,,Stadion Feijenoord,,Head-to-Head,
11,Sat,2026-10-31,18:45,Heerenveen,,NEC Nijmegen,,Abe Lenstra Stadion,,Head-to-Head,
11,Sat,2026-10-31,18:45,PSV,,Willem II,,Philips Stadion,,Head-to-Head,
11,Sat,2026-10-31,21:00,Cambuur,,Go Ahead Eagles,,Kooi Stadion,,Head-to-Head,
11,Sat,2026-10-31,21:00,Ajax,,AZ Alkmaar,,Johan Cruijff Arena,,Head-to-Head,
11,Sun,2026-11-01,12:15,Zwolle,,ADO Den Haag,,MAC³PARK Stadion,,Head-to-Head,
11,Sun,2026-11-01,14:30,Telstar,,Utrecht,,BUKO Stadion,,Head-to-Head,
11,Sun,2026-11-01,14:30,Excelsior,,Twente,,Van Donge & De Roo Stadion,,Head-to-Head,
11,Sun,2026-11-01,16:45,Groningen,,Sparta R.,,Euroborg,,Head-to-Head,
,,,,,,,,,,,
12,Fri,2026-11-06,20:00,Willem II,,Zwolle,,Koning Willem II Stadion,,Head-to-Head,
