Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sat,2026-10-24,,RB Leipzig,,Elversberg,,Red Bull Arena,,Head-to-Head,
7,Sat,2026-10-24,,Stuttgart,,Gladbach,,MHPArena,,Head-to-Head,
7,Sat,2026-10-24,,Mainz 05,,Werder Bremen,,Mewa Arena,,Head-to-Head,
7,Sat,2026-10-24,,Freiburg,,Bayern Munich,,Europa-Park Stadion,,Head-to-Head,
7,Sat,2026-10-24,,Augsburg,,Union Berlin,,WWK Arena,,Head-to-Head,
7,Sat,2026-10-24,,Paderborn 07,,Hamburger SV,,Home Deluxe Arena,,Head-to-Head,
7,Sat,2026-10-24,,Köln,,Schalke 04,,RheinEnergieSTADION,,Head-to-Head,
,,,,,,,,,,,
8,Sat,2026-10-31,,Gladbach,,Paderborn 07,,Stadion im Borussia-Park,,Head-to-Head,
8,Sat,2026-10-31,,Werder Bremen,,Hoffenheim,,Weserstadion,,Head-to-Head,
8,Sat,2026-10-31,,Union Berlin,,Köln,,Stadion An der Alten Försterei,,Head-to-Head,
8,Sat,2026-10-31,,Frankfurt,,Hamburger SV,,Deutsche Bank Park,,Head-to-Head,
8,Sat,2026-10-31,,Leverkusen,,Stuttgart,,BayArena,,Head-to-Head,
8,Sat,2026-10-31,,Bayern Munich,,Dortmund,,Allianz Arena,,Head-to-Head,
8,Sat,2026-10-31,,Schalke 04,,RB Leipzig,,Veltins-Arena,,Head-to-Head,
8,Sat,2026-10-31,,Elversberg,,Mainz 05,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
8,Sat,2026-10-31,,Augsburg,,Freiburg,,WWK Arena,,Head-to-Head,
,,,,,,,,,,,
9,Sat,2026-11-07,,Hamburger SV,,Gladbach,,Volksparkstadion,,Head-to-Head,
9,Sat,2026-11-07,,Stuttgart,,Werder Bremen,,MHPArena,,Head-to-Head,
9,Sat,2026-11-07,,Dortmund,,Elversberg,,Signal Iduna Park,,Head-to-Head,
9,Sat,2026-11-07,,Paderborn 07,,Frankfurt,,Home Deluxe Arena,,Head-to-Head,
9,Sat,2026-11-07,,RB Leipzig,,Augsburg,,Red Bull Arena,,Head-to-Head,
9,Sat,2026-11-07,,Mainz 05,,Bayern Munich,,Mewa Arena,,Head-to-Head,
9,Sat,2026-11-07,,Köln,,Leverkusen,,RheinEnergieSTADION,,Head-to-Head,
9,Sat,2026-11-07,,Hoffenheim,,Schalke 04,,PreZero Arena,,Head-to-Head,
9,Sat,2026-11-07,,Freiburg,,Union Berlin,,Europa-Park Stadion,,Head-to-Head,
,,,,,,,,,,,
10,Sat,2026-11-21,,Elversberg,,Freiburg,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
10,Sat,2026-11-21,,Frankfurt,,Hoffenheim,,Deutsche Bank Park,,Head-to-Head,
10,Sat,2026-11-21,,Leverkusen,,Paderborn 07,,BayArena,,Head-to-Head,
10,Sat,2026-11-21,,Schalke 04,,Stuttgart,,Veltins-Arena,,Head-to-Head,
10,Sat,2026-11-21,,Bayern Munich,,Köln,,Allianz Arena,,Head-to-Head,
10,Sat,2026-11-21,,Augsburg,,Mainz 05,,WWK Arena,,Head-to-Head,
10,Sat,2026-11-21,,Werder Bremen,,Hamburger SV,,Weserstadion,,Head-to-Head,
10,Sat,2026-11-21,,Gladbach,,Dortmund,,Stadion im Borussia-Park,,Head-to-Head,
10,Sat,2026-11-21,,Union Berlin,,RB Leipzig,,Stadion An der Alten Försterei,,Head-to-Head,
,,,,,,,,,,,
11,Sat,2026-11-28,,Hoffenheim,,Augsburg,,PreZero Arena,,Head-to-Head,
11,Sat,2026-11-28,,Stuttgart,,Frankfurt,,MHPArena,,Head-to-Head,
11,Sat,2026-11-28,,Hamburger SV,,Bayern Munich,,Volksparkstadion,,Head-to-Head,
11,Sat,2026-11-28,,Werder Bremen,,Gladbach,,Weserstadion,,Head-to-Head,
11,Sat,2026-11-28,,Freiburg,,RB Leipzig,,Europa-Park Stadion,,Head-to-Head,
11,Sat,2026-11-28,,Mainz 05,,Union Berlin,,Mewa Arena,,Head-to-Head,
11,Sat,2026-11-28,,Köln,,Elversberg,,RheinEnergieSTADION,,Head-to-Head,
11,Sat,2026-11-28,,Dortmund,,Leverkusen,,Signal Iduna Park,,Head-to-Head,
11,Sat,2026-11-28,,Paderborn 07,,Schalke 04,,Home Deluxe Arena,,Head-to-Head,
,,,,,,,,,,,
12,Sat,2026-12-05,,Leverkusen,,Gladbach,,BayArena,,Head-to-Head,
12,Sat,2026-12-05,,Augsburg,,Köln,,WWK Arena,,Head-to-Head,
12,Sat,2026-12-05,,Elversberg,,Stuttgart,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
12,Sat,2026-12-05,,Bayern Munich,,Paderborn 07,,Allianz Arena,,Head-to-Head,
12,Sat,2026-12-05,,Schalke 04,,Dortmund,,Veltins-Arena,,Head-to-Head,
12,Sat,2026-12-05,,RB Leipzig,,Mainz 05,,Red Bull Arena,,Head-to-Head,
12,Sat,2026-12-05,,Freiburg,,Hoffenheim,,Europa-Park Stadion,,Head-to-Head,
12,Sat,2026-12-05,,Frankfurt,,Werder Bremen,,Deutsche Bank Park,,Head-to-Head,
12,Sat,2026-12-05,,Union Berlin,,Hamburger SV,,Stadion An der Alten Försterei,,Head-to-Head,
,,,,,,,,,,,
13,Sat,2026-12-12,,Dortmund,,Augsburg,,Signal Iduna Park,,Head-to-Head,
13,Sat,2026-12-12,,Hamburger SV,,Schalke 04,,Volksparkstadion,,Head-to-Head,
13,Sat,2026-12-12,,Mainz 05,,Freiburg,,Mewa Arena,,Head-to-Head,
13,Sat,2026-12-12,,Köln,,RB Leipzig,,RheinEnergieSTADION,,Head-to-Head,
13,Sat,2026-12-12,,Werder Bremen,,Leverkusen,,Weserstadion,,Head-to-Head,
13,Sat,2026-12-12,,Paderborn 07,,Elversberg,,Home Deluxe Arena,,Head-to-Head,
13,Sat,2026-12-12,,Stuttgart,,Union Berlin,,MHPArena,,Head-to-Head,
13,Sat,2026-12-12,,Gladbach,,Frankfurt,,Stadion im Borussia-Park,,Head-to-Head,
13,Sat,2026-12-12,,Hoffenheim,,Bayern Munich,,PreZero Arena,,Head-to-Head,
,,,,,,,,,,,
14,Sat,2026-12-19,,RB Leipzig,,Dortmund,,Red Bull Arena,,Head-to-Head,
