Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
29,Sat,2027-04-10,,Gladbach,,Leverkusen,,Stadion im Borussia-Park,,Head-to-Head,
,,,,,,,,,,,
30,Sat,2027-04-17,,Schalke 04,,Hamburger SV,,Veltins-Arena,,Head-to-Head,
30,Sat,2027-04-17,,Union Berlin,,Stuttgart,,Stadion An der Alten Försterei,,Head-to-Head,
30,Sat,2027-04-17,,RB Leipzig,,Köln,,Red Bull Arena,,Head-to-Head,
30,Sat,2027-04-17,,Freiburg,,Mainz 05,,Europa-Park Stadion,,Head-to-Head,
30,Sat,2027-04-17,,Frankfurt,,Gladbach,,Deutsche Bank Park,,Head-to-Head,
30,Sat,2027-04-17,,Bayern Munich,,Hoffenheim,,Allianz Arena,,Head-to-Head,
30,Sat,2027-04-17,,Elversberg,,Paderborn 07,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
30,Sat,2027-04-17,,Leverkusen,,Werder Bremen,,BayArena,,Head-to-Head,
30,Sat,2027-04-17,,Augsburg,,Dortmund,,WWK Arena,,Head-to-Head,
,,,,,,,,,,,
31,Sat,2027-04-24,,Frankfurt,,Leverkusen,,Deutsche Bank Park,,Head-to-Head,
31,Sat,2027-04-24,,Köln,,Mainz 05,,RheinEnergieSTADION,,Head-to-Head,
31,Sat,2027-04-24,,Hamburger SV,,Elversberg,,Volksparkstadion,,Head-to-Head,
31,Sat,2027-04-24,,Gladbach,,Schalke 04,,Stadion im Borussia-Park,,Head-to-Head,
31,Sat,2027-04-24,,Paderborn 07,,Augsburg,,Home Deluxe Arena,,Head-to-Head,
31,Sat,2027-04-24,,Hoffenheim,,Union Berlin,,PreZero Arena,,Head-to-Head,
31,Sat,2027-04-24,,Dortmund,,RB Leipzig,,Signal Iduna Park,,Head-to-Head,
31,Sat,2027-04-24,,Werder Bremen,,Bayern Munich,,Weserstadion,,Head-to-Head,
31,Sat,2027-04-24,,Stuttgart,,Freiburg,,MHPArena,,Head-to-Head,
,,,,,,,,,,,
32,Sat,2027-05-08,,Leverkusen,,Hamburger SV,,BayArena,,Head-to-Head,
32,Sat,2027-05-08,,Bayern Munich,,Gladbach,,Allianz Arena,,Head-to-Head,
32,Sat,2027-05-08,,Schalke 04,,Frankfurt,,Veltins-Arena,,Head-to-Head,
32,Sat,2027-05-08,,RB Leipzig,,Paderborn 07,,Red Bull Arena,,Head-to-Head,
32,Sat,2027-05-08,,Augsburg,,Stuttgart,,WWK Arena,,Head-to-Head,
32,Sat,2027-05-08,,Freiburg,,Köln,,Europa-Park Stadion,,Head-to-Head,
32,Sat,2027-05-08,,Union Berlin,,Werder Bremen,,Stadion An der Alten Försterei,,Head-to-Head,
32,Sat,2027-05-08,,Elversberg,,Hoffenheim,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
32,Sat,2027-05-08,,Mainz 05,,Dortmund,,Mewa Arena,,Head-to-Head,
,,,,,,,,,,,
33,Sat,2027-05-15,,Hamburger SV,,Freiburg,,Volksparkstadion,,Head-to-Head,
33,Sat,2027-05-15,,Frankfurt,,Elversberg,,Deutsche Bank Park,,Head-to-Head,
33,Sat,2027-05-15,,Dortmund,,Köln,,Signal Iduna Park,,Head-to-Head,
33,Sat,2027-05-15,,Hoffenheim,,Mainz 05,,PreZero Arena,,Head-to-Head,
33,Sat,2027-05-15,,Stuttgart,,RB Leipzig,,MHPArena,,Head-to-Head,
33,Sat,2027-05-15,,Werder Bremen,,Schalke 04,,Weserstadion,,Head-to-Head,
33,Sat,2027-05-15,,Paderborn 07,,Union Berlin,,Home Deluxe Arena,,Head-to-Head,
33,Sat,2027-05-15,,Leverkusen,,Bayern Munich,,BayArena,,Head-to-Head,
33,Sat,2027-05-15,,Gladbach,,Augsburg,,Stadion im Borussia-Park,,Head-to-Head,
,,,,,,,,,,,
34,Sat,2027-05-22,15:30,Mainz 05,,Stuttgart,,Mewa Arena,,Head-to-Head,
34,Sat,2027-05-22,15:30,Bayern Munich,,Frankfurt,,Allianz Arena,,Head-to-Head,
34,Sat,2027-05-22,15:30,Union Berlin,,Gladbach,,Stadion An der Alten Försterei,,Head-to-Head,
34,Sat,2027-05-22,15:30,Schalke 04,,Leverkusen,,Veltins-Arena,,Head-to-Head,
34,Sat,2027-05-22,15:30,Augsburg,,Hamburger SV,,WWK Arena,,Head-to-Head,
34,Sat,2027-05-22,15:30,Köln,,Paderborn 07,,RheinEnergieSTADION,,Head-to-Head,
34,Sat,2027-05-22,15:30,Freiburg,,Dortmund,,Europa-Park Stadion,,Head-to-Head,
34,Sat,2027-05-22,15:30,RB Leipzig,,Hoffenheim,,Red Bull Arena,,Head-to-Head,
34,Sat,2027-05-22,15:30,Elversberg,,Werder Bremen,,Ursapharm-Arena an der Kaiserlinde,,Head-to-Head,
